alpha,beta,gamma,fp,fn,acc_b,acc,f0.5,f1,f2,kappa,mcc,mean C
0.5,0.5,0.5,5.62,13.41,90.48,94.2,30.26,40.03,59.09,37.89,45.62,1.45
0.5,0.5,1.0,3.82,18.7,88.74,95.84,37.15,46.65,62.68,44.89,50.0,1.9
0.5,0.5,1.5,2.48,28.18,84.67,96.94,43.69,51.21,61.86,49.76,52.09,2.36
0.5,1.0,0.5,1.25,43.5,77.63,97.81,51.94,53.56,55.29,52.45,52.52,3.51
0.5,1.0,1.0,0.32,63.55,68.07,98.27,60.42,48.47,40.46,47.68,50.6,6.02
0.5,1.0,1.5,0.12,72.7,63.59,98.25,59.13,41.14,31.55,40.49,47.15,8.53
0.5,1.5,0.5,0.05,79.81,60.07,98.16,53.14,32.96,23.89,32.41,42.09,15.75
0.5,1.5,1.0,0.01,84.96,57.52,98.1,46.64,26.09,18.11,25.65,38.06,30.5
0.5,1.5,1.5,0.0,86.86,56.57,98.06,43.0,23.22,15.9,22.82,35.8,45.25
1.0,0.5,0.5,6.32,14.3,89.69,93.5,27.66,37.08,56.22,34.8,43.02,1.08
1.0,0.5,1.0,6.29,14.02,89.84,93.54,27.83,37.29,56.48,35.01,43.24,1.16
1.0,0.5,1.5,6.2,13.96,89.92,93.62,28.13,37.62,56.8,35.37,43.53,1.24
1.0,1.0,0.5,5.49,15.24,89.63,94.29,30.27,39.89,58.45,37.76,45.14,1.45
1.0,1.0,1.0,4.1,17.95,88.97,95.59,35.81,45.41,62.03,43.58,49.13,1.89
1.0,1.0,1.5,3.02,23.78,86.6,96.52,40.86,49.46,62.66,47.89,51.37,2.34
1.0,1.5,0.5,1.82,36.18,81.0,97.41,47.33,52.41,58.71,51.12,52.0,3.65
1.0,1.5,1.0,0.61,55.96,71.71,98.15,57.46,51.57,46.77,50.65,51.44,6.31
1.0,1.5,1.5,0.24,66.53,66.62,98.28,60.72,46.52,37.7,45.78,49.83,8.96
1.5,0.5,0.5,6.27,14.7,89.51,93.54,27.71,37.11,56.14,34.83,42.96,1.01
1.5,0.5,1.0,6.29,14.63,89.54,93.52,27.68,37.08,56.12,34.79,42.95,1.03
1.5,0.5,1.5,6.29,14.57,89.57,93.53,27.7,37.1,56.17,34.82,42.98,1.04
1.5,1.0,0.5,6.27,14.5,89.62,93.55,27.78,37.19,56.27,34.92,43.07,1.08
1.5,1.0,1.0,6.17,14.91,89.46,93.63,27.98,37.39,56.34,35.13,43.16,1.16
1.5,1.0,1.5,6.03,14.84,89.57,93.78,28.47,37.95,56.86,35.71,43.63,1.24
1.5,1.5,0.5,5.25,16.19,89.28,94.5,30.93,40.52,58.71,38.43,45.48,1.48
1.5,1.5,1.0,4.24,17.48,89.14,95.46,35.2,44.85,61.76,42.99,48.76,1.96
1.5,1.5,1.5,3.37,20.87,87.88,96.23,39.29,48.43,63.13,46.78,51.05,2.44
